#"%Röttgers, R. McKee, D, and Utschig, C, ""Temperature and salinity correction coefficients for light absorption by water in the visible to infrared spectral region"", Opt. Express, 2014",,,,,
#% Data of the salinity correction coefficient for the light absorption coefficent of water, PsiS, given for a NaCl solution and artificial seawater (ASW),,,,,
#"% s.d., standard deviation, nan, not determined",,,,,
#% remark: data of Fig. 8, for ASW <500 nm not reliable due to contamination problems, data combined with those calculated from reference [21], see paper for details,,,,,
#wavelength (nm),wavenumber (1/cm),PsiS (1/m*L/g) NaCl,s.d. (1/m*L/g) NaCl,PsiS (1/m*L/g) ASW,s.d. (1/m*L/g) ASW
2916,3429.36,nan,nan,2.32E+02,nan
2918,3427,nan,nan,2.25E+02,nan
2920,3424.66,nan,nan,2.14E+02,nan
2922,3422.31,nan,nan,1.96E+02,nan
2924,3419.97,nan,nan,1.82E+02,nan
2926,3417.63,nan,nan,1.73E+02,nan
2928,3415.3,nan,nan,1.64E+02,nan
2930,3412.97,nan,nan,1.54E+02,nan
2932,3410.64,nan,nan,1.38E+02,nan
2934,3408.32,nan,nan,1.23E+02,nan
2936,3405.99,nan,nan,1.12E+02,nan
2938,3403.68,nan,nan,9.93E+01,nan
2940,3401.36,nan,nan,8.49E+01,nan
2942,3399.05,nan,nan,7.12E+01,nan
2944,3396.74,nan,nan,6.12E+01,nan
2946,3394.43,nan,nan,5.00E+01,nan
2948,3392.13,nan,nan,3.23E+01,nan
2950,3389.83,nan,nan,9.01E+00,nan
2952,3387.53,nan,nan,-5.54E+00,nan
2954,3385.24,nan,nan,-1.41E+01,nan
2956,3382.95,nan,nan,-2.76E+01,nan
2958,3380.66,nan,nan,-4.06E+01,nan
2960,3378.38,nan,nan,-5.49E+01,nan
2962,3376.1,nan,nan,-6.67E+01,nan
2964,3373.82,nan,nan,-8.18E+01,nan
2966,3371.54,nan,nan,-1.00E+02,nan
2968,3369.27,nan,nan,-1.15E+02,nan
2970,3367,nan,nan,-1.27E+02,nan
2972,3364.74,nan,nan,-1.34E+02,nan
2974,3362.47,nan,nan,-1.51E+02,nan
2976,3360.22,nan,nan,-1.74E+02,nan
2978,3357.96,nan,nan,-1.86E+02,nan
2980,3355.7,nan,nan,-1.97E+02,nan
2982,3353.45,nan,nan,-2.12E+02,nan
2984,3351.21,nan,nan,-2.25E+02,nan
2986,3348.96,nan,nan,-2.35E+02,nan
2988,3346.72,nan,nan,-2.43E+02,nan
2990,3344.48,nan,nan,-2.60E+02,nan
2992,3342.25,nan,nan,-2.76E+02,nan
2994,3340.01,nan,nan,-2.88E+02,nan
2996,3337.78,nan,nan,-2.96E+02,nan
2998,3335.56,nan,nan,-3.07E+02,nan
3000,3333.33,nan,nan,-3.20E+02,nan
3002,3331.11,nan,nan,-3.29E+02,nan
3004,3328.89,nan,nan,-3.40E+02,nan
3006,3326.68,nan,nan,-3.54E+02,nan
3008,3324.47,nan,nan,-3.64E+02,nan
3010,3322.26,nan,nan,-3.70E+02,nan
3012,3320.05,nan,nan,-3.80E+02,nan
3014,3317.85,nan,nan,-3.93E+02,nan
3016,3315.65,nan,nan,-3.97E+02,nan
3018,3313.45,nan,nan,-4.00E+02,nan
3020,3311.26,nan,nan,-4.10E+02,nan
3022,3309.07,nan,nan,-4.19E+02,nan
3024,3306.88,nan,nan,-4.22E+02,nan
3026,3304.69,nan,nan,-4.27E+02,nan
3028,3302.51,nan,nan,-4.35E+02,nan
3030,3300.33,nan,nan,-4.45E+02,nan
3032,3298.15,nan,nan,-4.50E+02,nan
3034,3295.98,nan,nan,-4.51E+02,nan
3036,3293.81,nan,nan,-4.54E+02,nan
3038,3291.64,nan,nan,-4.59E+02,nan
3040,3289.47,nan,nan,-4.64E+02,nan
3042,3287.31,nan,nan,-4.71E+02,nan
3044,3285.15,nan,nan,-4.74E+02,nan
3046,3282.99,nan,nan,-4.77E+02,nan
3048,3280.84,nan,nan,-4.79E+02,nan
3050,3278.69,nan,nan,-4.78E+02,nan
3052,3276.54,nan,nan,-4.79E+02,nan
3054,3274.39,nan,nan,-4.83E+02,nan
3056,3272.25,nan,nan,-4.88E+02,nan
3058,3270.11,nan,nan,-4.91E+02,nan
3060,3267.97,nan,nan,-4.91E+02,nan
3062,3265.84,nan,nan,-4.91E+02,nan
3064,3263.71,nan,nan,-4.91E+02,nan
3066,3261.58,nan,nan,-4.91E+02,nan
3068,3259.45,nan,nan,-4.94E+02,nan
3070,3257.33,nan,nan,-4.98E+02,nan
3072,3255.21,nan,nan,-4.99E+02,nan
3074,3253.09,nan,nan,-4.96E+02,nan
3076,3250.98,nan,nan,-4.94E+02,nan
3078,3248.86,nan,nan,-4.93E+02,nan
3080,3246.75,nan,nan,-4.92E+02,nan
3082,3244.65,nan,nan,-4.93E+02,nan
3084,3242.54,nan,nan,-4.93E+02,nan
3086,3240.44,nan,nan,-4.94E+02,nan
3088,3238.34,nan,nan,-4.93E+02,nan
3090,3236.25,nan,nan,-4.90E+02,nan
3092,3234.15,nan,nan,-4.90E+02,nan
3094,3232.06,nan,nan,-4.91E+02,nan
3096,3229.97,nan,nan,-4.90E+02,nan
3098,3227.89,nan,nan,-4.88E+02,nan
3100,3225.81,nan,nan,-4.87E+02,nan
3102,3223.73,nan,nan,-4.88E+02,nan
3104,3221.65,nan,nan,-4.88E+02,nan
3106,3219.58,nan,nan,-4.83E+02,nan
3108,3217.5,nan,nan,-4.80E+02,nan
3110,3215.43,nan,nan,-4.79E+02,nan
3112,3213.37,nan,nan,-4.77E+02,nan
3114,3211.3,nan,nan,-4.74E+02,nan
3116,3209.24,nan,nan,-4.71E+02,nan
3118,3207.18,nan,nan,-4.68E+02,nan
3120,3205.13,nan,nan,-4.66E+02,nan
3122,3203.07,nan,nan,-4.64E+02,nan
3124,3201.02,nan,nan,-4.61E+02,nan
3126,3198.98,nan,nan,-4.59E+02,nan
3128,3196.93,nan,nan,-4.57E+02,nan
3130,3194.89,nan,nan,-4.54E+02,nan
3132,3192.85,nan,nan,-4.50E+02,nan
3134,3190.81,nan,nan,-4.47E+02,nan
3136,3188.78,nan,nan,-4.44E+02,nan
3138,3186.74,nan,nan,-4.41E+02,nan
3140,3184.71,nan,nan,-4.37E+02,nan
3142,3182.69,nan,nan,-4.32E+02,nan
3144,3180.66,nan,nan,-4.28E+02,nan
3146,3178.64,nan,nan,-4.23E+02,nan
3148,3176.62,nan,nan,-4.19E+02,nan
3150,3174.6,nan,nan,-4.15E+02,nan
3152,3172.59,nan,nan,-4.12E+02,nan
3154,3170.58,nan,nan,-4.08E+02,nan
3156,3168.57,nan,nan,-4.04E+02,nan
3158,3166.56,nan,nan,-3.99E+02,nan
3160,3164.56,nan,nan,-3.95E+02,nan
3162,3162.56,nan,nan,-3.91E+02,nan
3164,3160.56,nan,nan,-3.87E+02,nan
3166,3158.56,nan,nan,-3.82E+02,nan
3168,3156.57,nan,nan,-3.77E+02,nan
3170,3154.57,nan,nan,-3.72E+02,nan
3172,3152.59,nan,nan,-3.67E+02,nan
3174,3150.6,nan,nan,-3.63E+02,nan
3176,3148.61,nan,nan,-3.59E+02,nan
3178,3146.63,nan,nan,-3.55E+02,nan
3180,3144.65,nan,nan,-3.50E+02,nan
3182,3142.68,nan,nan,-3.45E+02,nan
3184,3140.7,nan,nan,-3.40E+02,nan
3186,3138.73,nan,nan,-3.36E+02,nan
3188,3136.76,nan,nan,-3.32E+02,nan
3190,3134.8,nan,nan,-3.28E+02,nan
3192,3132.83,nan,nan,-3.23E+02,nan
3194,3130.87,nan,nan,-3.19E+02,nan
3196,3128.91,nan,nan,-3.14E+02,nan
3198,3126.95,nan,nan,-3.10E+02,nan
3200,3125,nan,nan,-3.05E+02,nan
3202,3123.05,nan,nan,-3.00E+02,nan
3204,3121.1,nan,nan,-2.96E+02,nan
3206,3119.15,nan,nan,-2.92E+02,nan
3208,3117.21,nan,nan,-2.87E+02,nan
3210,3115.26,nan,nan,-2.83E+02,nan
3212,3113.33,nan,nan,-2.79E+02,nan
3214,3111.39,nan,nan,-2.75E+02,nan
3216,3109.45,nan,nan,-2.71E+02,nan
3218,3107.52,nan,nan,-2.67E+02,nan
3220,3105.59,nan,nan,-2.63E+02,nan
3222,3103.66,nan,nan,-2.58E+02,nan
3224,3101.74,nan,nan,-2.54E+02,nan
3226,3099.81,nan,nan,-2.51E+02,nan
3228,3097.89,nan,nan,-2.47E+02,nan
3230,3095.98,nan,nan,-2.43E+02,nan
3232,3094.06,nan,nan,-2.39E+02,nan
3234,3092.15,nan,nan,-2.35E+02,nan
3236,3090.23,nan,nan,-2.32E+02,nan
3238,3088.33,nan,nan,-2.28E+02,nan
3240,3086.42,nan,nan,-2.25E+02,nan
3242,3084.52,nan,nan,-2.21E+02,nan
3244,3082.61,nan,nan,-2.18E+02,nan
3246,3080.71,nan,nan,-2.14E+02,nan
3248,3078.82,nan,nan,-2.11E+02,nan
3250,3076.92,nan,nan,-2.08E+02,nan
3252,3075.03,nan,nan,-2.05E+02,nan
3254,3073.14,nan,nan,-2.01E+02,nan
3256,3071.25,nan,nan,-1.98E+02,nan
3258,3069.37,nan,nan,-1.95E+02,nan
3260,3067.48,nan,nan,-1.92E+02,nan
3262,3065.6,nan,nan,-1.89E+02,nan
3264,3063.73,nan,nan,-1.86E+02,nan
3266,3061.85,nan,nan,-1.83E+02,nan
3268,3059.98,nan,nan,-1.80E+02,nan
3270,3058.1,nan,nan,-1.77E+02,nan
3272,3056.23,nan,nan,-1.74E+02,nan
3274,3054.37,nan,nan,-1.72E+02,nan
3276,3052.5,nan,nan,-1.69E+02,nan
3278,3050.64,nan,nan,-1.66E+02,nan
3280,3048.78,nan,nan,-1.64E+02,nan
3282,3046.92,nan,nan,-1.61E+02,nan
3284,3045.07,nan,nan,-1.58E+02,nan
3286,3043.21,nan,nan,-1.56E+02,nan
3288,3041.36,nan,nan,-1.53E+02,nan
3290,3039.51,nan,nan,-1.51E+02,nan
3292,3037.67,nan,nan,-1.49E+02,nan
3294,3035.82,nan,nan,-1.46E+02,nan
3296,3033.98,nan,nan,-1.44E+02,nan
3298,3032.14,nan,nan,-1.42E+02,nan
3300,3030.3,nan,nan,-1.39E+02,nan
3302,3028.47,nan,nan,-1.37E+02,nan
3304,3026.63,nan,nan,-1.35E+02,nan
3306,3024.8,nan,nan,-1.33E+02,nan
3308,3022.97,nan,nan,-1.31E+02,nan
3310,3021.15,nan,nan,-1.29E+02,nan
3312,3019.32,nan,nan,-1.27E+02,nan
3314,3017.5,nan,nan,-1.25E+02,nan
3316,3015.68,nan,nan,-1.23E+02,nan
3318,3013.86,nan,nan,-1.21E+02,nan
3320,3012.05,nan,nan,-1.19E+02,nan
3322,3010.23,nan,nan,-1.17E+02,nan
3324,3008.42,nan,nan,-1.15E+02,nan
3326,3006.61,nan,nan,-1.13E+02,nan
3328,3004.81,nan,nan,-1.11E+02,nan
3330,3003,nan,nan,-1.10E+02,nan
3332,3001.2,nan,nan,-1.08E+02,nan
3334,2999.4,nan,nan,-1.06E+02,nan
3336,2997.6,nan,nan,-1.04E+02,nan
3338,2995.81,nan,nan,-1.03E+02,nan
3340,2994.01,nan,nan,-1.01E+02,nan
3342,2992.22,nan,nan,-9.97E+01,nan
3344,2990.43,nan,nan,-9.81E+01,nan
3346,2988.64,nan,nan,-9.65E+01,nan
3348,2986.86,nan,nan,-9.50E+01,nan
3350,2985.07,nan,nan,-9.35E+01,nan
3352,2983.29,nan,nan,-9.20E+01,nan
3354,2981.51,nan,nan,-9.06E+01,nan
3356,2979.74,nan,nan,-8.91E+01,nan
3358,2977.96,nan,nan,-8.76E+01,nan
3360,2976.19,nan,nan,-8.63E+01,nan
3362,2974.42,nan,nan,-8.50E+01,nan
3364,2972.65,nan,nan,-8.36E+01,nan
3366,2970.89,nan,nan,-8.23E+01,nan
3368,2969.12,nan,nan,-8.10E+01,nan
3370,2967.36,nan,nan,-7.97E+01,nan
3372,2965.6,nan,nan,-7.84E+01,nan
3374,2963.84,nan,nan,-7.71E+01,nan
3376,2962.09,nan,nan,-7.58E+01,nan
3378,2960.33,nan,nan,-7.45E+01,nan
3380,2958.58,nan,nan,-7.34E+01,nan
3382,2956.83,nan,nan,-7.23E+01,nan
3384,2955.08,nan,nan,-7.12E+01,nan
3386,2953.34,nan,nan,-7.02E+01,nan
3388,2951.59,nan,nan,-6.91E+01,nan
3390,2949.85,nan,nan,-6.81E+01,nan
3392,2948.11,nan,nan,-6.70E+01,nan
3394,2946.38,nan,nan,-6.60E+01,nan
3396,2944.64,nan,nan,-6.50E+01,nan
3398,2942.91,nan,nan,-6.40E+01,nan
3400,2941.18,nan,nan,-6.30E+01,nan
3402,2939.45,nan,nan,-6.19E+01,nan
3404,2937.72,nan,nan,-6.09E+01,nan
3406,2936,nan,nan,-5.99E+01,nan
3408,2934.27,nan,nan,-5.90E+01,nan
3410,2932.55,nan,nan,-5.80E+01,nan
3412,2930.83,nan,nan,-5.71E+01,nan
3414,2929.12,nan,nan,-5.62E+01,nan
3416,2927.4,nan,nan,-5.52E+01,nan
3418,2925.69,nan,nan,-5.44E+01,nan
3420,2923.98,nan,nan,-5.35E+01,nan
3422,2922.27,nan,nan,-5.27E+01,nan
3424,2920.56,nan,nan,-5.19E+01,nan
3426,2918.86,nan,nan,-5.12E+01,nan
3428,2917.15,nan,nan,-5.05E+01,nan
3430,2915.45,nan,nan,-4.98E+01,nan
3432,2913.75,nan,nan,-4.91E+01,nan
3434,2912.06,nan,nan,-4.85E+01,nan
3436,2910.36,nan,nan,-4.78E+01,nan
3438,2908.67,nan,nan,-4.72E+01,nan
3440,2906.98,nan,nan,-4.65E+01,nan
3442,2905.29,nan,nan,-4.59E+01,nan
3444,2903.6,nan,nan,-4.53E+01,nan
3446,2901.92,nan,nan,-4.47E+01,nan
3448,2900.23,nan,nan,-4.40E+01,nan
3450,2898.55,nan,nan,-4.34E+01,nan
3452,2896.87,nan,nan,-4.28E+01,nan
3454,2895.19,nan,nan,-4.21E+01,nan
3456,2893.52,nan,nan,-4.15E+01,nan
3458,2891.84,nan,nan,-4.09E+01,nan
3460,2890.17,nan,nan,-4.04E+01,nan
3462,2888.5,nan,nan,-3.98E+01,nan
3464,2886.84,nan,nan,-3.93E+01,nan
3466,2885.17,nan,nan,-3.87E+01,nan
3468,2883.51,nan,nan,-3.82E+01,nan
3470,2881.84,nan,nan,-3.76E+01,nan
3472,2880.18,nan,nan,-3.71E+01,nan
3474,2878.53,nan,nan,-3.66E+01,nan
3476,2876.87,nan,nan,-3.61E+01,nan
3478,2875.22,nan,nan,-3.55E+01,nan
3480,2873.56,nan,nan,-3.50E+01,nan
3482,2871.91,nan,nan,-3.45E+01,nan
3484,2870.26,nan,nan,-3.40E+01,nan
3486,2868.62,nan,nan,-3.35E+01,nan
3488,2866.97,nan,nan,-3.31E+01,nan
3490,2865.33,nan,nan,-3.26E+01,nan
3492,2863.69,nan,nan,-3.22E+01,nan
3494,2862.05,nan,nan,-3.18E+01,nan
3496,2860.41,nan,nan,-3.13E+01,nan
3498,2858.78,nan,nan,-3.08E+01,nan
3500,2857.14,nan,nan,-3.03E+01,nan
3502,2855.51,nan,nan,-2.98E+01,nan
3504,2853.88,nan,nan,-2.93E+01,nan
3506,2852.25,nan,nan,-2.89E+01,nan
3508,2850.63,nan,nan,-2.85E+01,nan
3510,2849,nan,nan,-2.82E+01,nan
3512,2847.38,nan,nan,-2.79E+01,nan
3514,2845.76,nan,nan,-2.76E+01,nan
3516,2844.14,nan,nan,-2.74E+01,nan
3518,2842.52,nan,nan,-2.71E+01,nan
3520,2840.91,nan,nan,-2.68E+01,nan
3522,2839.3,nan,nan,-2.65E+01,nan
3524,2837.68,nan,nan,-2.62E+01,nan
3526,2836.07,nan,nan,-2.59E+01,nan
3528,2834.47,nan,nan,-2.56E+01,nan
3530,2832.86,nan,nan,-2.52E+01,nan
3532,2831.26,nan,nan,-2.49E+01,nan
3534,2829.65,nan,nan,-2.46E+01,nan
3536,2828.05,nan,nan,-2.43E+01,nan
3538,2826.46,nan,nan,-2.40E+01,nan
3540,2824.86,nan,nan,-2.37E+01,nan
3542,2823.26,nan,nan,-2.34E+01,nan
3544,2821.67,nan,nan,-2.31E+01,nan
3546,2820.08,nan,nan,-2.28E+01,nan
3548,2818.49,nan,nan,-2.25E+01,nan
3550,2816.9,nan,nan,-2.23E+01,nan
3552,2815.32,nan,nan,-2.20E+01,nan
3554,2813.73,nan,nan,-2.18E+01,nan
3556,2812.15,nan,nan,-2.15E+01,nan
3558,2810.57,nan,nan,-2.13E+01,nan
3560,2808.99,nan,nan,-2.10E+01,nan
3562,2807.41,nan,nan,-2.08E+01,nan
3564,2805.84,nan,nan,-2.05E+01,nan
3566,2804.26,nan,nan,-2.03E+01,nan
3568,2802.69,nan,nan,-2.01E+01,nan
3570,2801.12,nan,nan,-1.99E+01,nan
3572,2799.55,nan,nan,-1.97E+01,nan
3574,2797.99,nan,nan,-1.95E+01,nan
3576,2796.42,nan,nan,-1.93E+01,nan
3578,2794.86,nan,nan,-1.91E+01,nan
3580,2793.3,nan,nan,-1.89E+01,nan
3582,2791.74,nan,nan,-1.87E+01,nan
3584,2790.18,nan,nan,-1.85E+01,nan
3586,2788.62,nan,nan,-1.83E+01,nan
3588,2787.07,nan,nan,-1.82E+01,nan
3590,2785.52,nan,nan,-1.80E+01,nan
3592,2783.96,nan,nan,-1.78E+01,nan
3594,2782.42,nan,nan,-1.75E+01,nan
3596,2780.87,nan,nan,-1.73E+01,nan
3598,2779.32,nan,nan,-1.72E+01,nan
3600,2777.78,nan,nan,-1.70E+01,nan
3602,2776.24,nan,nan,-1.69E+01,nan
3604,2774.69,nan,nan,-1.68E+01,nan
3606,2773.16,nan,nan,-1.66E+01,nan
3608,2771.62,nan,nan,-1.64E+01,nan
3610,2770.08,nan,nan,-1.62E+01,nan
3612,2768.55,nan,nan,-1.60E+01,nan
3614,2767.02,nan,nan,-1.59E+01,nan
3616,2765.49,nan,nan,-1.57E+01,nan
3618,2763.96,nan,nan,-1.56E+01,nan
3620,2762.43,nan,nan,-1.55E+01,nan
3622,2760.91,nan,nan,-1.54E+01,nan
3624,2759.38,nan,nan,-1.52E+01,nan
3626,2757.86,nan,nan,-1.51E+01,nan
3628,2756.34,nan,nan,-1.50E+01,nan
3630,2754.82,nan,nan,-1.48E+01,nan
3632,2753.3,nan,nan,-1.47E+01,nan
3634,2751.79,nan,nan,-1.46E+01,nan
3636,2750.28,nan,nan,-1.45E+01,nan
3638,2748.76,nan,nan,-1.44E+01,nan
3640,2747.25,nan,nan,-1.43E+01,nan
3642,2745.74,nan,nan,-1.41E+01,nan
3644,2744.24,nan,nan,-1.40E+01,nan
3646,2742.73,nan,nan,-1.39E+01,nan
3648,2741.23,nan,nan,-1.38E+01,nan
3650,2739.73,nan,nan,-1.37E+01,nan
3652,2738.23,nan,nan,-1.36E+01,nan
3654,2736.73,nan,nan,-1.34E+01,nan
3656,2735.23,nan,nan,-1.34E+01,nan
3658,2733.73,nan,nan,-1.33E+01,nan
3660,2732.24,nan,nan,-1.32E+01,nan
3662,2730.75,nan,nan,-1.31E+01,nan
3664,2729.26,nan,nan,-1.30E+01,nan
3666,2727.77,nan,nan,-1.30E+01,nan
3668,2726.28,nan,nan,-1.29E+01,nan
3670,2724.8,nan,nan,-1.28E+01,nan
3672,2723.31,nan,nan,-1.27E+01,nan
3674,2721.83,nan,nan,-1.26E+01,nan
3676,2720.35,nan,nan,-1.25E+01,nan
3678,2718.87,nan,nan,-1.24E+01,nan
3680,2717.39,nan,nan,-1.23E+01,nan
3682,2715.92,nan,nan,-1.22E+01,nan
3684,2714.44,nan,nan,-1.21E+01,nan
3686,2712.97,nan,nan,-1.21E+01,nan
3688,2711.5,nan,nan,-1.21E+01,nan
3690,2710.03,nan,nan,-1.20E+01,nan
3692,2708.56,nan,nan,-1.20E+01,nan
3694,2707.09,nan,nan,-1.19E+01,nan
3696,2705.63,nan,nan,-1.19E+01,nan
3698,2704.16,nan,nan,-1.18E+01,nan
3700,2702.7,nan,nan,-1.17E+01,nan
3702,2701.24,nan,nan,-1.17E+01,nan
3704,2699.78,nan,nan,-1.16E+01,nan
3706,2698.33,nan,nan,-1.15E+01,nan
3708,2696.87,nan,nan,-1.14E+01,nan
3710,2695.42,nan,nan,-1.14E+01,nan
3712,2693.97,nan,nan,-1.14E+01,nan
3714,2692.51,nan,nan,-1.13E+01,nan
3716,2691.07,nan,nan,-1.13E+01,nan
3718,2689.62,nan,nan,-1.12E+01,nan
3720,2688.17,nan,nan,-1.12E+01,nan
3722,2686.73,nan,nan,-1.12E+01,nan
3724,2685.28,nan,nan,-1.11E+01,nan
3726,2683.84,nan,nan,-1.11E+01,nan
3728,2682.4,nan,nan,-1.10E+01,nan
3730,2680.97,nan,nan,-1.10E+01,nan
3732,2679.53,nan,nan,-1.10E+01,nan
3734,2678.09,nan,nan,-1.09E+01,nan
3736,2676.66,nan,nan,-1.08E+01,nan
3738,2675.23,nan,nan,-1.08E+01,nan
3740,2673.8,nan,nan,-1.08E+01,nan
3742,2672.37,nan,nan,-1.07E+01,nan
3744,2670.94,nan,nan,-1.07E+01,nan
3746,2669.51,nan,nan,-1.07E+01,nan
3748,2668.09,nan,nan,-1.06E+01,nan
3750,2666.67,nan,nan,-1.06E+01,nan
3752,2665.25,nan,nan,-1.06E+01,nan
3754,2663.83,nan,nan,-1.06E+01,nan
3756,2662.41,nan,nan,-1.05E+01,nan
3758,2660.99,nan,nan,-1.05E+01,nan
3760,2659.57,nan,nan,-1.05E+01,nan
3762,2658.16,nan,nan,-1.05E+01,nan
3764,2656.75,nan,nan,-1.05E+01,nan
3766,2655.34,nan,nan,-1.05E+01,nan
3768,2653.93,nan,nan,-1.04E+01,nan
3770,2652.52,nan,nan,-1.04E+01,nan
3772,2651.11,nan,nan,-1.04E+01,nan
3774,2649.71,nan,nan,-1.04E+01,nan
3776,2648.31,nan,nan,-1.04E+01,nan
3778,2646.9,nan,nan,-1.04E+01,nan
3780,2645.5,nan,nan,-1.04E+01,nan
3782,2644.1,nan,nan,-1.04E+01,nan
3784,2642.71,nan,nan,-1.04E+01,nan
3786,2641.31,nan,nan,-1.03E+01,nan
3788,2639.92,nan,nan,-1.03E+01,nan
3790,2638.52,nan,nan,-1.03E+01,nan
3792,2637.13,nan,nan,-1.03E+01,nan
3794,2635.74,nan,nan,-1.03E+01,nan
3796,2634.35,nan,nan,-1.03E+01,nan
3798,2632.96,nan,nan,-1.03E+01,nan
3800,2631.58,nan,nan,-1.03E+01,nan
3802,2630.19,nan,nan,-1.03E+01,nan
3804,2628.81,nan,nan,-1.03E+01,nan
3806,2627.43,nan,nan,-1.03E+01,nan
3808,2626.05,nan,nan,-1.03E+01,nan
3810,2624.67,nan,nan,-1.03E+01,nan
3812,2623.29,nan,nan,-1.03E+01,nan
3814,2621.92,nan,nan,-1.03E+01,nan
3816,2620.55,nan,nan,-1.03E+01,nan
3818,2619.17,nan,nan,-1.03E+01,nan
3820,2617.8,nan,nan,-1.03E+01,nan
3822,2616.43,nan,nan,-1.03E+01,nan
3824,2615.06,nan,nan,-1.03E+01,nan
3826,2613.7,nan,nan,-1.03E+01,nan
3828,2612.33,nan,nan,-1.03E+01,nan
3830,2610.97,nan,nan,-1.03E+01,nan
3832,2609.6,nan,nan,-1.03E+01,nan
3834,2608.24,nan,nan,-1.03E+01,nan
3836,2606.88,nan,nan,-1.03E+01,nan
3838,2605.52,nan,nan,-1.04E+01,nan
3840,2604.17,nan,nan,-1.04E+01,nan
3842,2602.81,nan,nan,-1.04E+01,nan
3844,2601.46,nan,nan,-1.04E+01,nan
3846,2600.1,nan,nan,-1.04E+01,nan
3848,2598.75,nan,nan,-1.04E+01,nan
3850,2597.4,nan,nan,-1.04E+01,nan
3852,2596.05,nan,nan,-1.05E+01,nan
3854,2594.71,nan,nan,-1.05E+01,nan
3856,2593.36,nan,nan,-1.05E+01,nan
3858,2592.02,nan,nan,-1.05E+01,nan
3860,2590.67,nan,nan,-1.05E+01,nan
3862,2589.33,nan,nan,-1.06E+01,nan
3864,2587.99,nan,nan,-1.06E+01,nan
3866,2586.65,nan,nan,-1.06E+01,nan
3868,2585.32,nan,nan,-1.07E+01,nan
3870,2583.98,nan,nan,-1.07E+01,nan
3872,2582.64,nan,nan,-1.07E+01,nan
3874,2581.31,nan,nan,-1.07E+01,nan
3876,2579.98,nan,nan,-1.07E+01,nan
3878,2578.65,nan,nan,-1.08E+01,nan
3880,2577.32,nan,nan,-1.08E+01,nan
3882,2575.99,nan,nan,-1.08E+01,nan
3884,2574.67,nan,nan,-1.08E+01,nan
3886,2573.34,nan,nan,-1.08E+01,nan
3888,2572.02,nan,nan,-1.09E+01,nan
3890,2570.69,nan,nan,-1.09E+01,nan
3892,2569.37,nan,nan,-1.10E+01,nan
3894,2568.05,nan,nan,-1.10E+01,nan
3896,2566.74,nan,nan,-1.10E+01,nan
3898,2565.42,nan,nan,-1.10E+01,nan
3900,2564.1,nan,nan,-1.10E+01,nan
3902,2562.79,nan,nan,-1.11E+01,nan
3904,2561.48,nan,nan,-1.11E+01,nan
3906,2560.16,nan,nan,-1.11E+01,nan
3908,2558.85,nan,nan,-1.11E+01,nan
3910,2557.54,nan,nan,-1.12E+01,nan
3912,2556.24,nan,nan,-1.12E+01,nan
3914,2554.93,nan,nan,-1.12E+01,nan
3916,2553.63,nan,nan,-1.13E+01,nan
3918,2552.32,nan,nan,-1.13E+01,nan
3920,2551.02,nan,nan,-1.13E+01,nan
3922,2549.72,nan,nan,-1.14E+01,nan
3924,2548.42,nan,nan,-1.14E+01,nan
3926,2547.12,nan,nan,-1.14E+01,nan
3928,2545.82,nan,nan,-1.14E+01,nan
3930,2544.53,nan,nan,-1.15E+01,nan
3932,2543.23,nan,nan,-1.15E+01,nan
3934,2541.94,nan,nan,-1.16E+01,nan
3936,2540.65,nan,nan,-1.16E+01,nan
3938,2539.36,nan,nan,-1.17E+01,nan
3940,2538.07,nan,nan,-1.17E+01,nan
3942,2536.78,nan,nan,-1.17E+01,nan
3944,2535.5,nan,nan,-1.18E+01,nan
3946,2534.21,nan,nan,-1.18E+01,nan
3948,2532.93,nan,nan,-1.18E+01,nan
3950,2531.65,nan,nan,-1.19E+01,nan
3952,2530.36,nan,nan,-1.19E+01,nan
3954,2529.08,nan,nan,-1.19E+01,nan
3956,2527.81,nan,nan,-1.20E+01,nan
3958,2526.53,nan,nan,-1.20E+01,nan
3960,2525.25,nan,nan,-1.20E+01,nan
3962,2523.98,nan,nan,-1.21E+01,nan
3964,2522.7,nan,nan,-1.21E+01,nan
3966,2521.43,nan,nan,-1.22E+01,nan
3968,2520.16,nan,nan,-1.22E+01,nan
3970,2518.89,nan,nan,-1.22E+01,nan
3972,2517.62,nan,nan,-1.22E+01,nan
3974,2516.36,nan,nan,-1.23E+01,nan
3976,2515.09,nan,nan,-1.23E+01,nan
3978,2513.83,nan,nan,-1.23E+01,nan
3980,2512.56,nan,nan,-1.23E+01,nan
3982,2511.3,nan,nan,-1.24E+01,nan
3984,2510.04,nan,nan,-1.24E+01,nan
3986,2508.78,nan,nan,-1.24E+01,nan
3988,2507.52,nan,nan,-1.24E+01,nan
3990,2506.27,nan,nan,-1.24E+01,nan
3992,2505.01,nan,nan,-1.25E+01,nan
3994,2503.76,nan,nan,-1.25E+01,nan
3996,2502.5,nan,nan,-1.25E+01,nan
3998,2501.25,nan,nan,-1.25E+01,nan
4000,2500,nan,nan,-1.26E+01,nan
4002,2498.75,nan,nan,-1.26E+01,nan
4004,2497.5,nan,nan,-1.26E+01,nan
4006,2496.26,nan,nan,-1.26E+01,nan
4008,2495.01,nan,nan,-1.27E+01,nan
4010,2493.77,nan,nan,-1.27E+01,nan
